,year,week,total_score,temperature,home_team,home_score,away_team,away_score,wind,wind_dir
239,2016,2,73,85,Panthers,46,49ers,27,3,SE
240,2016,3,51,62,Bills,33,Cardinals,18,1,NE
241,2016,4,57,58,Jaguars,30,Colts,27,6,NNW
242,2016,5,46,57,Browns,13,Patriots,33,9,NW
243,2016,6,61,72,Bills,45,49ers,16,9,SW
244,2016,7,27,54,Rams,10,Giants,17,1,ENE
245,2016,8,54,52,Bengals,27,Washington,27,3,ESE
246,2016,9,38,70,Vikings,16,Lions,22,5,S
247,2016,10,45,71,Jaguars,21,Texans,24,6,N
248,2016,11,33,35,Browns,9,Steelers,24,16,WNW
249,2016,12,57,69,Cowboys,31,Washington,26,5,S
250,2016,13,57,70,Falcons,28,Chiefs,29,5,ENE
251,2016,14,47,24,Bills,20,Steelers,27,6,S
252,2016,15,47,34,Jets,13,Dolphins,34,3,SW
253,2016,16,65,35,Bills,31,Dolphins,34,7,W
254,2016,17,37,38,Bengals,27,Ravens,10,1,E
255,2015,1,54,68,Bears,23,Packers,31,4,WNW
256,2015,2,41,88,Panthers,24,Texans,17,2,N
257,2015,3,67,89,Cowboys,28,Falcons,39,4,ENE
258,2015,4,41,62,Dolphins,14,Jets,27,6,SSE
259,2015,5,35,80,Chiefs,17,Bears,18,11,SSW
260,2015,6,54,48,Jets,34,Washington,20,1,NW
261,2015,7,65,51,Jaguars,34,Bills,31,3,SSE
262,2015,8,55,57,Chiefs,45,Lions,10,3,S
263,2015,9,66,53,Panthers,37,Packers,29,7,ENE
264,2015,10,34,57,Packers,16,Lions,18,6,SW
265,2015,11,31,70,Lions,18,Raiders,13,1,W
266,2015,12,47,68,Cowboys,14,Panthers,33,11,SE
267,2015,13,43,52,Giants,20,Jets,23,5,SSW
268,2015,14,43,69,Eagles,23,Bills,20,1,SW
269,2015,15,35,50,Cowboys,16,Jets,19,7,SSE
270,2015,16,62,50,Eagles,24,Washington,38,5,ENE
271,2015,17,30,78,Dolphins,20,Patriots,10,4,NE
272,2014,1,71,70,Falcons,37,Saints,34,6,W
273,2014,2,39,61,Bills,29,Dolphins,10,,W
274,2014,3,32,72,Bills,10,Chargers,22,,SW
275,2014,4,55,78,Bears,17,Packers,38,,E
276,2014,5,37,81,Cowboys,20,Texans,17,,N
277,2014,6,59,59,Bills,22,Patriots,37,3,N
278,2014,7,33,45,Bills,17,Vikings,16,,WSW
279,2014,8,43,58,Falcons,21,Lions,22,,
280,2014,9,56,46,Bengals,33,Jaguars,23,,SSE
281,2014,10,30,41,Bills,13,Chiefs,17,,SSW
282,2014,11,34,32,Bears,21,Vikings,13,,SSW
283,2014,12,50,70,Falcons,24,Browns,26,,ENE
284,2014,13,43,57,Cowboys,10,Eagles,33,,N
285,2014,14,63,42,Bengals,21,Steelers,42,3,NE
286,2014,15,47,70,Falcons,20,Steelers,27,8,WNW
287,2014,16,51,35,Washington,27,Eagles,24,1,W
288,2014,17,26,37,Chiefs,19,Chargers,7,5,SW
289,2013,1,44,65,Bills,21,Patriots,23,,N
290,2013,2,55,70,Falcons,31,Rams,24,,N
291,2013,3,64,67,Bengals,34,Packers,30,,NE
292,2013,4,43,74,Bills,23,Ravens,20,,SW
293,2013,5,44,61,Bears,18,Saints,26,,WSW
294,2013,6,51,68,Bills,24,Bengals,27,,SSW
295,2013,7,54,70,Falcons,31,Buccaneers,23,,N
296,2013,8,61,70,Lions,31,Cowboys,30,,WSW
297,2013,9,36,38,Bills,13,Chiefs,23,,NNW
298,2013,10,43,70,Falcons,10,Seahawks,33,,N
299,2013,11,51,85,Texans,23,Raiders,28,,SSW
300,2013,12,38,33,Browns,11,Steelers,27,,WNW
301,2013,13,55,52,Cowboys,31,Raiders,24,,N
302,2013,14,70,28,Bengals,42,Colts,28,,E
303,2013,15,53,70,Falcons,27,Washington,26,,NW
304,2013,16,56,53,Bengals,42,Vikings,14,,SSW
305,2013,17,51,59,Bengals,34,Ravens,17,,SW
306,2012,1,40,83,Texans,30,Dolphins,10,,N
307,2012,2,52,68,Bills,35,Chiefs,17,,SW
308,2012,3,29,58,Bears,23,Rams,6,,W
309,2012,4,58,70,Falcons,30,Panthers,28,,ESE
310,2012,5,30,51,Bengals,13,Dolphins,17,,WSW
311,2012,6,43,70,Falcons,23,Raiders,20,,S
312,2012,7,69,55,Bills,34,Titans,35,,WSW
313,2012,8,45,47,Bears,23,Panthers,22,18,NNE
314,2012,9,54,48,Bengals,23,Broncos,31,,NNW
315,2012,10,44,67,Bengals,31,Giants,13,,S
316,2012,11,42,70,Falcons,23,Cardinals,19,,NNE
317,2012,12,69,75,Cowboys,31,Washington,38,,SSE
318,2012,13,52,51,Bills,34,Jaguars,18,,SSW
319,2012,14,27,37,Bills,12,Rams,15,,E
320,2012,15,34,70,Falcons,34,Giants,0,,SE
321,2012,16,65,64,Cowboys,31,Saints,34,,SW
322,2012,17,37,27,Bills,28,Jets,9,,WNW
323,2011,1,30,90,Jaguars,16,Titans,14,,
324,2011,2,73,66,Bills,38,Raiders,35,,
325,2011,3,73,70,Saints,40,Texans,33,,
326,2011,4,44,55,Browns,13,Titans,31,,
327,2011,5,45,76,Texans,20,Raiders,25,,
328,2011,6,44,77,Bengals,27,Colts,17,,
329,2011,7,48,70,Jets,27,Chargers,21,,
330,2011,8,38,69,Texans,24,Jaguars,14,,
331,2011,9,42,77,Texans,30,Browns,12,,
332,2011,10,51,81,Cowboys,44,Bills,7,,
333,2011,11,48,70,Vikings,21,Raiders,27,,
334,2011,12,39,59,Cowboys,20,Dolphins,19,,
335,2011,13,53,56,Washington,19,Jets,34,,
336,2011,14,61,40,Washington,27,Patriots,34,,
337,2011,15,46,67,Buccaneers,15,Cowboys,31,,
338,2011,16,54,31,Bills,40,Broncos,14,,
339,2011,17,70,54,Patriots,49,Bills,21,,
340,2010,1,25,64,Bills,10,Dolphins,15,,
341,2010,2,27,84,Panthers,7,Buccaneers,20,,
342,2010,3,51,70,Saints,24,Falcons,27,,
343,2010,4,23,70,Rams,20,Seahawks,3,,
344,2010,5,30,66,Browns,10,Falcons,20,,
345,2010,6,37,79,Buccaneers,6,Saints,31,,
346,2010,7,71,72,Ravens,37,Bills,34,,
347,2010,8,40,54,49ers,24,Broncos,16,,
348,2010,9,37,50,Panthers,3,Saints,34,,
349,2010,10,55,70,Jaguars,31,Texans,24,,
350,2010,11,34,70,Vikings,3,Packers,31,,
351,2010,12,57,39,Cowboys,27,Saints,30,,
352,2010,13,23,35,Titans,6,Jaguars,17,,
353,2010,14,30,41,Steelers,23,Bengals,7,,
354,2010,15,31,65,Dolphins,14,Bills,17,,
355,2010,16,53,70,Cardinals,27,Cowboys,26,,
356,2010,17,36,70,Saints,13,Buccaneers,23,,
357,2009,1,72,70,Saints,45,Lions,27,,
358,2009,2,48,70,Falcons,28,Panthers,20,,
359,2009,3,53,70,Rams,17,Packers,36,,
360,2009,4,43,56,Browns,20,Bengals,23,,
361,2009,5,46,39,Chiefs,20,Cowboys,26,,
362,2009,6,26,43,Packers,26,Lions,0,,
